fbref_id,ime,tekmovanja,tekme,min,goli,asistence,G+A
6b2c894b,Ghislain Konan,['primeira_liga'],30,2658,0,0,0
149b617e,Bas Kuipers,"['primeira_liga', 'eredivisie']",24,1468,1,2,3
33a4d604,Chiheb Labidi,['primeira_liga'],28,1614,1,1,2
be9bcca7,André Lacximicant,['primeira_liga'],22,1213,3,2,5
9e39fa2d,Gustaf Lagerbielke,"['primeira_liga', 'europa_league']",42,3592,2,0,2
d09a17fe,Landerson,['primeira_liga'],29,1297,0,2,2
72947847,Bruno Langa,"['primeira_liga', 'champions_league']",18,997,0,0,0
0d690336,Larra,['primeira_liga'],33,2843,5,4,9
7553b2d2,Orest Lebedenko,['primeira_liga'],14,447,0,0,0
5b2323c0,Tiago Leite,['primeira_liga'],9,132,0,0,0
d633fd46,Stefan Lekovic,"['primeira_liga', 'serbian_superliga']",24,2009,3,1,4
b0492e27,Leonardo Lelo,"['primeira_liga', 'europa_league']",38,2417,0,5,5
e68fbbc6,Adrian Leon Barišić,"['primeira_liga', 'europa_league']",10,721,0,0,0
f3d12a9d,Georgios Liavas,['primeira_liga'],24,789,0,1,1
9f014183,Bernardo Lima,['primeira_liga'],1,9,0,0,0
184d2469,Felipe Lima,['primeira_liga'],6,52,0,0,0
8d429bba,Ivan Lima,['primeira_liga'],1,14,0,0,0
c87e786b,Pedro Lima,['primeira_liga'],26,1888,4,2,6
6f281453,Sandro Lima,['primeira_liga'],29,1424,5,2,7
27504df8,Lincoln,['primeira_liga'],30,2358,2,5,7
fc045c90,Yan Lincon,['primeira_liga'],21,739,1,1,2
4f3768f1,Jérémy Livolant,['primeira_liga'],33,2764,3,8,11
c115db1e,Dailon Livramento,"['primeira_liga', 'coppa_italia']",25,972,0,1,1
318ecb8c,Liziero,['primeira_liga'],28,2328,0,4,4
449e6b20,Diogo Lobão,['primeira_liga'],22,1163,1,1,2
e0ea88c4,Rafael Lobato,['primeira_liga'],2,11,0,0,0
19966e5f,Julien Lomboto,['primeira_liga'],7,220,0,0,0
add4f29e,Nodari Lominadze,['primeira_liga'],16,646,2,0,2
27b44d5d,Tom van de Looi,['primeira_liga'],32,2746,0,0,0
20700569,Sidny Lopes Cabral,"['primeira_liga', 'champions_league']",25,1692,6,5,11
7c2965bb,Rony Lopes,['primeira_liga'],16,1030,4,2,6
e8dd8ac7,Bruno Lourenço,['primeira_liga'],7,235,0,0,0
ebb5a0df,Lucão,"['primeira_liga', 'serie_a_bra']",12,1080,0,0,0
85937928,Luquinhas,['primeira_liga'],9,214,0,0,0
3ea1862e,Miguel Maga,['primeira_liga'],22,1570,0,0,0
db85a5d0,Gonçalo Maia,['primeira_liga'],2,5,0,0,0
b806bc70,Otar Mamageishvili,['primeira_liga'],8,126,0,0,0
d618c9b3,Gustavo Mancha,"['primeira_liga', 'serie_a_bra', 'super_league_greece', 'copa_libertadores']",36,3079,0,0,0
eef2d8ce,Ricardo Mangas,"['primeira_liga', 'russian_premier_league', 'champions_league']",19,1138,2,1,3
7f19cbe0,Elias Manoel,"['primeira_liga', 'serie_a_bra', 'copa_libertadores']",20,377,3,0,3
b1a0fe80,Brian Mansilla,['primeira_liga'],20,333,0,0,0
3a09da9a,Tiago Manso,['primeira_liga'],28,1540,1,1,2
0d48a5bb,Nico Mantl,['primeira_liga'],8,720,0,0,0
4c2a65a8,Manuel Manu,"['primeira_liga', 'champions_league']",10,127,0,0,0
276127e4,Maracás,['primeira_liga'],29,2590,4,0,4
279307ac,Maranhão,['primeira_liga'],33,2452,6,2,8
b979fb26,Abraham Marcus,['primeira_liga'],31,2561,5,5,10
83bc30cc,Alejandro Marqués,['primeira_liga'],26,1150,4,0,4
a7cf1541,Christian Marques,['primeira_liga'],31,2714,0,0,0
f302ebae,João Marques,['primeira_liga'],13,589,1,1,2
5c15cdd6,Álvaro Martínez,['primeira_liga'],15,813,0,0,0
0c89e00b,Gabri Martínez,"['primeira_liga', 'europa_league']",39,1969,4,2,6
c7e5562e,Julián Martínez,['primeira_liga'],11,668,0,0,0
a2b07e59,Bernardo Martins,"['primeira_liga', 'super_league_greece']",31,1356,2,1,3
fc0ec027,Diogo Martins,['primeira_liga'],1,8,0,0,0
85cb66de,Gil Martins,['primeira_liga'],1,3,0,0,0
3223d2ec,Nor Maviram,['primeira_liga'],20,1456,2,2,4
c7ad19f8,Fally Mayulu,"['primeira_liga', 'championship', 'efl_cup']",14,180,0,0,0
6a3579d9,Benjamin Mbunga-Kimpioka,['primeira_liga'],10,529,0,0,0
6e15c550,Brayan Medina,"['primeira_liga', 'copa_sudamericana']",28,2495,0,1,1
a2660293,Tobías Medina,['primeira_liga'],1,12,0,0,0
1b8314b8,Jorge Meireles,['primeira_liga'],22,752,0,2,2
c47fe6cb,Claudio Mendes,['primeira_liga'],13,287,1,0,1
a86f0d7b,Darlan Mendes,['primeira_liga'],7,93,0,0,0
98e292bb,João Mendes,['primeira_liga'],29,2432,1,1,2
d0d01f62,Matheus Mendes,['primeira_liga'],9,810,0,0,0
45f771db,Tomás Mendes,['primeira_liga'],5,311,0,1,1
ce1ef31c,Gustavo Mendonça,['primeira_liga'],21,1396,0,0,0
dcd94cdb,Bastien Meupiyou,['primeira_liga'],30,2612,0,0,0
22018f21,Michel,['primeira_liga'],4,300,0,0,0
d74a54d1,Mika,['primeira_liga'],1,90,0,0,0
1fda2b14,Marko Milovanović,['primeira_liga'],31,1529,9,2,11
faf49b2a,André Miranda,['primeira_liga'],1,7,0,0,0
37df21dd,Miro,"['primeira_liga', 'russian_premier_league']",24,1207,1,0,1
